127.0.0.1 - - [07/May/2025:08:00:28 +0545] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/May/2025:08:01:15 +0545] "GET /abc HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [07/May/2025:08:01:15 +0545] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/May/2025:08:01:19 +0545] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/May/2025:08:01:58 +0545] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/May/2025:08:02:00 +0545] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/May/2025:08:02:00 +0545] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/May/2025:08:02:00 +0545] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/May/2025:08:02:01 +0545] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/May/2025:08:02:01 +0545] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/May/2025:08:02:02 +0545] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/May/2025:08:02:02 +0545] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/May/2025:08:02:02 +0545] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/May/2025:08:02:02 +0545] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/May/2025:08:02:02 +0545] "GET / HTTP/1.1" 404 752
